ProductName,Category,UseCase,Price,Audience,PrimaryBenefit,Style,Rating
Summit Pack 32L 8,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 8,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 8,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 9,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 9,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 9,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 9,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 9,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 17,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 9,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 9,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 9,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 9,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 9,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 9,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 9,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 9,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 9,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 18,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 9,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 9,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 9,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 9,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 10,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 10,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 10,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 10,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 10,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 19,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 10,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 10,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 10,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 10,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 10,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 10,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 10,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 10,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 10,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 20,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 10,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 10,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 10,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 10,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 11,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 11,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 11,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 11,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 11,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 21,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 11,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 11,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 11,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 11,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 11,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 11,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 11,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 11,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 11,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 22,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 11,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 11,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 11,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 11,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 12,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 12,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 12,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 12,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 12,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 23,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 12,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 12,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 12,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 12,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 12,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 12,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 12,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 12,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 12,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 24,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 12,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 12,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 12,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 12,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5
Nimbus Ultralight 13,Jacket,Daily Commute,129,Unisex,Lightweight,Modern,4.6
Summit Shield Pro 13,Jacket,Alpine Hiking,249,Unisex,Weatherproof,Technical,4.8
Breeze Trail Hoodie 13,Midlayer,Trail Running,99,Unisex,Breathable,Athletic,4.5
Harbor Cozy Fleece 13,Midlayer,Casual,89,Women,Warmth,Casual,4.7
Terra Grip 2.0 13,Shoes,Hiking,159,Men,Traction,Technical,4.6
Flowstride Knit 25,Shoes,Daily Commute,139,Women,Comfort,Modern,4.4
All-Day Pack 20L 13,Backpack,Daily Commute,119,Unisex,Organization,Minimal,4.5
Summit Pack 28L 13,Backpack,Alpine Hiking,169,Unisex,Support,Technical,4.7
City Shell Rain 13,Jacket,Rain,149,Unisex,Weatherproof,Minimal,4.5
Glacier Loft Parka 13,Jacket,Winter,279,Unisex,Warmth,Modern,4.8
Trailflex Wind 13,Jacket,Trail Running,119,Unisex,Lightweight,Athletic,4.4
Harbor Softshell 13,Jacket,Casual,149,Men,Comfort,Casual,4.3
Summit Apex Hybrid 13,Jacket,Alpine Hiking,199,Women,Breathable,Technical,4.7
Coastline Anorak 13,Jacket,Travel,129,Unisex,Packable,Minimal,4.4
Terra Grip 3.0 13,Shoes,Alpine Hiking,189,Unisex,Traction,Technical,4.7
Flowstride Knit 26,Shoes,Casual,129,Women,Comfort,Modern,4.3
All-Day Pack 26L 13,Backpack,Travel,139,Unisex,Organization,Modern,4.4
Summit Pack 32L 13,Backpack,Alpine Hiking,189,Unisex,Support,Technical,4.7
Metro Lite Sling 13,Accessories,Daily Commute,69,Unisex,Organization,Minimal,4.4
Trail Hydration 13,Accessories,Trail Running,59,Unisex,Hydration,Athletic,4.5

